2016,3,SF,3035448
2016,4,SF,3080640
2016,5,SF,3283025
2016,6,SF,3427652
2016,7,SF,3554339
2016,8,SF,3683640
2016,9,SF,3323342
2016,10,SF,3233207
2016,11,SF,3086972
2016,12,SF,3111480
2017,1,SF,2909235
2017,2,SF,2640282
2016,3,BOS,1404872
2016,4,BOS,1428308
2016,5,BOS,1560111
2016,6,BOS,1525853
2016,7,BOS,1552218
2016,8,BOS,1580063
2016,9,BOS,1434977
2016,10,BOS,1291084
2016,11,BOS,1259025
2016,12,BOS,1211579
2017,1,BOS,1154338
2017,2,BOS,1055087
2016,3,NYC,3411310
2016,4,NYC,3280905
2016,5,NYC,3293422
2016,6,NYC,3290783
2016,7,NYC,3282464
2016,8,NYC,3362994
2016,9,NYC,3083285
2016,10,NYC,3030238
2016,11,NYC,3052039
2016,12,NYC,3118863
2017,1,NYC,2987537
2017,2,NYC,2737636
2016,3,NASH,538321
2016,4,NASH,523049
2016,5,NASH,558552
2016,6,NASH,606130
2016,7,NASH,604854
2016,8,NASH,606687
2016,9,NASH,584411
2016,10,NASH,584313
2016,11,NASH,557438
2016,12,NASH,548185
2017,1,NASH,540675
2017,2,NASH,482269
2016,3,LA,3406277
2016,4,LA,3405661
2016,5,LA,3572031
2016,6,LA,3730502
2016,7,LA,3811289
2016,8,LA,3875095
2016,9,LA,3487747
2016,10,LA,3388784
2016,11,LA,3251298
2016,12,LA,3374773
2017,1,LA,3319420
2017,2,LA,2966929
